cle,texte_fr,fr_singulier,emplacement,zone,utilisation,type,fragment_ou_phrase,variables,pluriel,elision,visible,aria,impression,export,ht,ht_singulier,en,en_singulier,es,es_singulier,action_requise
"{niveau} du département {dep_de}, arrondissement {arr_de}","{niveau} du département {dep_de}, arrondissement {arr_de}",,situe() L335,fiche,visible,phrase,phrase,niveau dep_de arr_de,,oui,oui,,,,"{niveau} nan depatman {dep}, awondisman {arr}","{niveau} nan depatman {dep}, awondisman {arr}","{niveau} in {dep} department, {arr} arrondissement","{niveau} in {dep} department, {arr} arrondissement","{niveau} del departamento de {dep}, distrito de {arr}","{niveau} del departamento de {dep}, distrito de {arr}",relecture kreyòl
"{nom} est située sur la carte d'Haïti, avec {famille}.","{nom} est située sur la carte d'Haïti, avec {famille}.",,blocCarte() L483,carte,visible+aria,phrase,phrase,nom famille,,,oui,oui,,,"Men kote {nom} ye sou kat Ayiti a, ansanm ak {famille}.","Men kote {nom} ye sou kat Ayiti a, ansanm ak {famille}.","{nom} located on the map of Haiti, together with {famille}.","{nom} located on the map of Haiti, together with {famille}.","{nom} situada en el mapa de Haití, junto con {famille}.","{nom} situada en el mapa de Haití, junto con {famille}.",relecture kreyòl
{nom} sur la carte d'Haïti : {famille} sont mises en évidence.,{nom} sur la carte d'Haïti : {famille} sont mises en évidence.,,blocCarte() L485,carte,visible+aria,phrase,phrase,nom famille,,,oui,oui,,,{nom} sou kat Ayiti a : nou make {famille}.,{nom} sou kat Ayiti a : nou make {famille}.,{nom} on the map of Haiti: {famille} are highlighted.,{nom} on the map of Haiti: {famille} are highlighted.,{nom} en el mapa de Haití: se destacan {famille}.,{nom} en el mapa de Haití: se destacan {famille}.,relecture kreyòl
{n} arrondissements,{n} arrondissements,{n} arrondissement,blocEnfants() L683,fiche,visible,libelle,phrase,n,oui,,oui,,,,{n} awondisman,{n} awondisman,{n} arrondissements,{n} arrondissement,{n} distritos,{n} distrito,relecture kreyòl
{n} arrondissements sans valeur,{n} arrondissements sans valeur,{n} arrondissement sans valeur,classement() L1015,classement,visible+impression,phrase,phrase,n,oui,,oui,,oui,,{n} awondisman san valè,{n} awondisman san valè,{n} arrondissements with no value,{n} arrondissement with no value,{n} distritos sin valor,{n} distrito sin valor,relecture kreyòl
{n} autres communes du même arrondissement,{n} autres communes du même arrondissement,{n} autre commune du même arrondissement,blocCarte() L477,carte,visible+aria,phrase,phrase,n,oui,,oui,oui,,,{n} lòt komin nan menm awondisman an,{n} lòt komin nan menm awondisman an,{n} other communes in the same arrondissement,{n} other commune in the same arrondissement,otras {n} comunas del mismo distrito,otra {n} comuna del mismo distrito,relecture kreyòl
{n} autres non affichées.,{n} autres non affichées.,{n} autre non affichée.,blocOrganisations() L670,admin,visible,phrase,phrase,n,oui,,oui,,,,{n} lòt ki pa parèt.,{n} lòt ki pa parèt.,{n} others not shown.,{n} other not shown.,{n} más sin mostrar.,{n} más sin mostrar.,relecture kreyòl
{n} autres — affinez par la recherche.,{n} autres — affinez par la recherche.,,blocEnfants() L693,fiche,visible,phrase,phrase,n,,,oui,,,,{n} lòt — sèvi ak rechèch la pou w presize.,{n} lòt — sèvi ak rechèch la pou w presize.,{n} more — narrow it down with the search box.,{n} more — narrow it down with the search box.,{n} más — afine con la búsqueda.,{n} más — afine con la búsqueda.,relecture kreyòl
{n} communes,{n} communes,{n} commune,blocEnfants() L684,fiche,visible,libelle,phrase,n,oui,,oui,,,,{n} komin,{n} komin,{n} communes,{n} commune,{n} comunas,{n} comuna,relecture kreyòl
{n} communes documentées,{n} communes documentées,{n} commune documentée,classement() L1060,classement,visible+impression,phrase,phrase,n,oui,,oui,,oui,,{n} komin ki dokimante,{n} komin ki dokimante,{n} documented communes,{n} documented commune,{n} comunas documentadas,{n} comuna documentada,relecture kreyòl
{n} communes sans valeur,{n} communes sans valeur,{n} commune sans valeur,classement() L1016,classement,visible+impression,phrase,phrase,n,oui,,oui,,oui,,{n} komin san valè,{n} komin san valè,{n} communes with no value,{n} commune with no value,{n} comunas sin valor,{n} comuna sin valor,relecture kreyòl
{n} communes sur {total} apportent une valeur.,{n} communes sur {total} apportent une valeur.,{n} commune sur {total} apporte une valeur.,agregat() L790,agregat,visible+impression,phrase,phrase,n total,oui,,oui,,oui,,{n} komin sou {total} bay yon valè.,{n} komin sou {total} bay yon valè.,{n} communes out of {total} contribute a value.,{n} commune out of {total} contributes a value.,{n} comunas de {total} aportan un valor.,{n} comuna de {total} aporta un valor.,relecture kreyòl
{n} départements sans valeur,{n} départements sans valeur,{n} département sans valeur,classement() L1013,classement,visible+impression,phrase,phrase,n,oui,,oui,,oui,,{n} depatman san valè,{n} depatman san valè,{n} departments with no value,{n} department with no value,{n} departamentos sin valor,{n} departamento sin valor,relecture kreyòl
{n} entités,{n} entités,{n} entité,blocEnfants() L687,fiche,visible,libelle,phrase,n,oui,,oui,,,,{n} antite,{n} antite,{n} entities,{n} entity,{n} entidades,{n} entidad,relecture kreyòl
{n} indicateurs comparent des millésimes différents,{n} indicateurs comparent des millésimes différents,{n} indicateur compare des millésimes différents,rendreComparaison() L972,comparaison,visible+aria+impression,phrase,phrase,n,oui,,oui,oui,oui,,{n} endikatè ap konpare ane referans ki diferan,{n} endikatè ap konpare ane referans ki diferan,{n} indicators compare different reference years,{n} indicator compares different reference years,{n} indicadores comparan años de referencia distintos,{n} indicador compara años de referencia distintos,relecture kreyòl
{n} localités,{n} localités,{n} localité,blocEnfants() L686,fiche,visible,libelle,phrase,n,oui,,oui,,,,{n} lokalite,{n} lokalite,{n} localities,{n} locality,{n} localidades,{n} localidad,relecture kreyòl
{n} organisations,{n} organisations,,pret() L1141,chrome,visible,libelle,phrase,n,,,oui,,,,{n} òganizasyon,{n} òganizasyon,{n} organisations,{n} organisations,{n} organizaciones,{n} organizaciones,relecture kreyòl
{n} sections communales,{n} sections communales,{n} section communale,blocEnfants() L685,fiche,visible,phrase,phrase,n,oui,,oui,,,,{n} seksyon kominal,{n} seksyon kominal,{n} communal sections,{n} communal section,{n} secciones comunales,{n} sección comunal,relecture kreyòl
{n} sources,{n} sources,{n} source,blocResume() L403,fiche,visible+impression,libelle,phrase,n,oui,,oui,,oui,,{n} sous,{n} sous,{n} sources,{n} source,{n} fuentes,{n} fuente,relecture kreyòl
{n} territoires trouvés.,{n} territoires trouvés.,{n} territoire trouvé.,afficherResultats() L296,recherche,visible+aria,phrase,phrase,n,oui,,oui,oui,,,Nou jwenn {n} teritwa.,Nou jwenn {n} teritwa.,{n} territories found.,{n} territory found.,{n} territorios encontrados.,{n} territorio encontrado.,relecture kreyòl
{rang} sur {total} communes documentées,{rang} sur {total} communes documentées,,blocIndicateurs() L543,fiche,visible+impression,phrase,phrase,rang total,,,oui,,oui,,{rang} sou {total} komin ki dokimante,{rang} sou {total} komin ki dokimante,{rang} of {total} documented communes,{rang} of {total} documented communes,{rang} de {total} comunas documentadas,{rang} de {total} comunas documentadas,relecture kreyòl
"{src}, publiée le {date}","{src}, publiée le {date}",,blocIndicateurs() L552,fiche,visible+impression,phrase,phrase,date src,,,oui,,oui,,"{src}, yo pibliye l {date}","{src}, yo pibliye l {date}","{src}, published on {date}","{src}, published on {date}","{src}, publicada el {date}","{src}, publicada el {date}",relecture kreyòl
"{strong} — l'écart peut venir du temps écoulé, pas du territoire. Les années sont sous chaque valeur.","{strong} — l'écart peut venir du temps écoulé, pas du territoire. Les années sont sous chaque valeur.","{strong} — l'écart peut venir du temps écoulé, pas du territoire. Les années sont sous chaque valeur.",rendreComparaison() L969,comparaison,visible+aria+impression,phrase,phrase,strong,oui,,oui,oui,oui,,"{strong} — diferans lan ka soti nan tan ki pase a, se pa nan teritwa a. Ane yo anba chak valè.","{strong} — diferans lan ka soti nan tan ki pase a, se pa nan teritwa a. Ane yo anba chak valè.",{strong} — the gap may come from elapsed time rather than from the territory. The years are shown under each value.,{strong} — the gap may come from elapsed time rather than from the territory. The years are shown under each value.,"{strong} — la diferencia puede venir del tiempo transcurrido, no del territorio. Los años aparecen debajo de cada valor.","{strong} — la diferencia puede venir del tiempo transcurrido, no del territorio. Los años aparecen debajo de cada valor.",relecture kreyòl
"{titre} — non couverts par la source de cet indicateur, donc absents du classement plutôt que placés en bas : {liste}.","{titre} — non couverts par la source de cet indicateur, donc absents du classement plutôt que placés en bas : {liste}.","{titre} — non couvert par la source de cet indicateur, donc absent du classement plutôt que placé en bas : {liste}.",classement() L1072,classement,visible+impression,phrase,phrase,liste titre,oui,,oui,,oui,,"{titre} — sous endikatè sa a pa kouvri yo, se poutèt sa yo pa nan klasman an olye pou yo ta anba : {liste}.","{titre} — sous endikatè sa a pa kouvri yo, se poutèt sa yo pa nan klasman an olye pou yo ta anba : {liste}.","{titre} — not covered by this indicator's source, so absent from the ranking rather than placed at the bottom: {liste}.","{titre} — not covered by this indicator's source, so absent from the ranking rather than placed at the bottom: {liste}.","{titre} — no cubiertos por la fuente de este indicador, por lo que quedan fuera del ranking en vez de situarse al final: {liste}.","{titre} — no cubierto por la fuente de este indicador, por lo que queda fuera del ranking en vez de situarse al final: {liste}.",relecture kreyòl
{t} territoires référencés · {c} communes documentées · {o} observations sourcées,{t} territoires référencés · {c} communes documentées · {o} observations sourcées,,pret() L1138,chrome,visible,phrase,phrase,t c o,,,oui,,,,{t} teritwa anrejistre · {c} komin dokimante · {o} obsèvasyon ki gen sous,{t} teritwa anrejistre · {c} komin dokimante · {o} obsèvasyon ki gen sous,{t} territories referenced · {c} communes documented · {o} sourced observations,{t} territories referenced · {c} communes documented · {o} sourced observations,{t} territorios registrados · {c} comunas documentadas · {o} observaciones con fuente,{t} territorios registrados · {c} comunas documentadas · {o} observaciones con fuente,relecture kreyòl
« {nd} » ne veut pas dire zéro : le territoire n'est pas couvert par la source de cet indicateur.,« {nd} » ne veut pas dire zéro : le territoire n'est pas couvert par la source de cet indicateur.,,rendreComparaison() L977,comparaison,visible+aria+impression,phrase,phrase,nd,,,oui,oui,oui,,« {nd} » pa vle di zewo : sous endikatè sa a pa kouvri teritwa a.,« {nd} » pa vle di zewo : sous endikatè sa a pa kouvri teritwa a.,“{nd}” does not mean zero: the territory is not covered by this indicator's source.,“{nd}” does not mean zero: the territory is not covered by this indicator's source.,«{nd}» no significa cero: el territorio no está cubierto por la fuente de este indicador.,«{nd}» no significa cero: el territorio no está cubierto por la fuente de este indicador.,relecture kreyòl
À quoi il sert,À quoi il sert,,blocLacunes() L574,fiche,visible+impression,phrase,phrase,,,,oui,,oui,,Pou ki sa l sèvi,Pou ki sa l sèvi,What it is for,What it is for,Para qué sirve,Para qué sirve,relecture kreyòl
🎓 Éducation,🎓 Éducation,,jour() L145,themes,visible,vocabulaire,phrase,,,,oui,,,,🎓 Edikasyon,🎓 Edikasyon,🎓 Education,🎓 Education,🎓 Educación,🎓 Educación,relecture kreyòl
🏥 Santé,🏥 Santé,,jour() L145,themes,visible,vocabulaire,phrase,,,,oui,,,,🏥 Sante,🏥 Sante,🏥 Health,🏥 Health,🏥 Salud,🏥 Salud,relecture kreyòl
📋 Qualité de la donnée,📋 Qualité de la donnée,,jour() L145,themes,visible,vocabulaire,phrase,,,,oui,,,,📋 Kalite done yo,📋 Kalite done yo,📋 Data quality,📋 Data quality,📋 Calidad del dato,📋 Calidad del dato,relecture kreyòl
🗺 Territoire,🗺 Territoire,,jour() L145,themes,visible,vocabulaire,phrase,,,,oui,,,,🗺 Teritwa,🗺 Teritwa,🗺 Territory,🗺 Territory,🗺 Territorio,🗺 Territorio,relecture kreyòl
🛒 Marchés,🛒 Marchés,,jour() L145,themes,visible,vocabulaire,phrase,,,,oui,,,,🛒 Mache,🛒 Mache,🛒 Markets,🛒 Markets,🛒 Mercados,🛒 Mercados,relecture kreyòl
